m_id,g_id
665,1
665,8
666,13
666,3
666,2
667,3
667,2
667,12
668,11
668,1
669,1
669,10
669,17
670,2
670,1
671,1
671,12
672,5
672,1
673,13
673,4
673,1
674,5
674,1
674,6
675,3
675,2
675,1
676,4
676,11
676,7
677,2
677,1
677,6
678,3
678,4
678,7
679,3
679,11
679,10
680,11
681,11
681,2
681,1
682,4
682,11
682,14
683,1
684,11
684,1
685,5
685,1
685,6
686,3
686,11
686,10
687,4
687,5
687,1
688,11
688,2
688,1
689,14
689,7
690,1
691,1
691,8
692,9
693,4
693,6
693,15
694,1
694,16
694,12
695,13
695,7
696,2
696,1
696,12
697,3
697,2
697,1
698,1
698,17
698,19
699,14
699,10
699,19
700,1
701,12
702,11
702,1
703,3
703,5
703,2
704,1
704,14
704,19
705,11
705,14
705,10
706,3
706,1
706,6
707,1
707,8
708,18
709,2
709,1
710,3
710,4
710,1
711,3
711,2
711,1
712,4
712,11
712,20
713,20
713,12
714,4
714,1
714,9
715,16
715,12
716,11
716,14
716,8
717,1
717,18
717,7
718,11
718,19
718,15
719,3
719,2
719,1
720,1
720,18
720,7
721,1
722,1
722,8
723,3
723,4
723,11
724,2
724,1
724,16
725,18
725,16
725,12
726,3
726,4
726,12
727,11
727,1
727,8
728,11
728,18
729,13
729,1
729,14
730,5
730,1
730,8
731,3
731,4
731,11
732,1
732,8
733,11
733,1
734,11
734,1
735,1
735,8
736,1
736,21
737,1
737,17
737,8
738,3
738,4
738,7
739,1
739,17
739,19
740,4
740,11
740,1
741,13
741,4
741,11
742,13
742,4
742,1
743,1
744,11
744,10
744,8
745,13
745,3
745,4
746,1
746,7
746,12
747,3
747,4
747,7
748,1
748,15
749,5
749,1
750,3
750,4
750,7
751,11
752,3
752,4
752,12
753,11
753,1
753,8
754,5
754,1
754,12
755,11
755,1
755,8
756,4
756,14
756,10
757,13
757,4
757,11
758,5
758,1
758,6
759,13
759,1
759,10
760,5
760,2
760,1
761,11
761,1
761,8
762,13
762,4
762,11
763,2
763,1
763,10
764,2
764,1
765,1
765,7
765,12
766,1
767,5
767,1
767,6
768,2
768,1
768,16
769,3
769,2
769,1
770,1
770,6
770,17
771,5
771,1
771,17
772,13
772,4
772,11
773,1
773,12
773,15
774,1
774,8
775,3
775,2
775,1
776,2
776,1
776,12
777,3
777,11
777,10
778,3
778,16
778,12
779,1
779,12
780,5
780,1
780,17
781,11
781,1
782,4
782,14
782,10
783,3
783,2
783,1
784,13
784,1
784,14
785,3
785,1
786,1
787,11
787,1
787,8
788,1
789,1
790,11
790,1
791,1
791,6
791,15
792,2
792,1
792,12
793,1
793,12
794,1
794,17
795,11
795,1
795,17
796,2
796,12
797,13
797,3
797,10
798,4
798,11
798,2
799,4
799,11
799,1
800,13
800,11
800,10
801,11
802,11
802,1
803,2
803,1
803,12
804,11
804,1
804,8
805,1
805,16
805,7
806,11
806,1
806,10
807,11
807,1
807,8
808,3
808,4
808,7
809,11
810,5
810,2
810,1
811,5
811,1
811,17
812,2
812,1
812,16
813,1
814,1
814,14
814,10
815,11
815,2
815,1
816,5
816,11
816,1
817,11
818,11
818,1
819,1
820,11
820,1
820,14
821,5
821,1
821,6
822,3
822,4
822,1
823,13
823,4
823,11
824,2
824,1
824,16
825,1
825,12
826,1
827,11
827,1
827,12
828,2
828,1
828,12
829,13
829,4
829,11
830,16
830,12
831,11
831,1
832,5
832,1
832,6
833,3
833,1
833,6
834,2
834,1
834,16
835,1
835,16
835,12
836,11
836,10
836,8
837,11
837,2
837,1
838,11
839,1
840,3
840,4
840,7
841,3
841,4
842,1
843,11
844,13
844,4
844,14
845,18
845,12
846,1
846,12
847,11
847,15
848,3
848,2
848,12
849,11
849,9
850,5
850,2
850,1
851,3
851,2
851,1
852,4
852,1
852,12
853,3
853,2
853,1
854,3
854,2
854,12
855,3
855,4
855,15
856,11
857,3
857,4
857,15
