m_id,a_id
333,997
334,638
334,999
334,1000
335,1001
335,1002
335,1003
336,509
336,699
336,448
337,637
337,1005
337,1006
338,1008
338,1009
338,1010
339,1012
339,1013
339,1014
340,1016
340,1017
340,1018
341,56
341,983
341,1019
342,112
342,1021
342,123
343,1022
343,1023
343,1024
344,31
344,209
344,1025
345,1026
345,706
345,1027
346,1029
346,1030
346,1031
347,1033
347,1034
347,1035
348,984
348,694
348,1037
349,1039
349,1040
349,1041
350,1042
350,1043
350,1044
351,692
351,456
351,1045
352,1047
352,1048
352,1049
353,474
353,797
353,1051
354,180
354,1053
354,1054
355,1055
355,987
355,1056
356,140
356,1057
356,793
357,1029
357,1031
357,1058
358,200
358,201
358,123
359,1061
359,1062
359,1063
360,74
360,1065
360,315
361,1067
361,1068
361,1069
362,31
362,1071
362,316
363,85
363,1073
363,714
364,1075
364,1076
364,1077
365,1079
365,1080
365,1081
366,1083
366,655
366,1084
367,1086
367,1087
367,1088
368,1090
368,1091
368,1092
369,1094
369,1095
369,1096
370,25
370,751
370,335
371,1098
371,1099
371,1100
372,1101
372,1102
372,1103
373,731
373,1105
373,1106
374,129
374,1107
374,1108
375,1110
375,474
375,749
376,1112
376,1113
376,781
377,1115
377,1034
377,38
378,785
378,1117
378,1118
379,1119
379,26
379,1120
380,1122
380,1123
380,1124
381,988
381,1126
381,1127
382,1129
382,1130
382,649
383,693
383,1132
383,1133
384,1134
384,1135
384,1136
385,1137
385,1063
385,88
386,1138
386,1139
386,1140
387,1142
387,1143
387,1144
388,1145
388,1146
388,283
389,1148
389,1149
389,1150
390,1151
390,1152
390,1153
391,1155
391,1156
391,1157
392,1159
392,1160
392,1161
393,1163
393,1164
393,1165
394,537
394,1166
394,35
395,1168
395,1169
395,1170
396,1172
396,1173
396,1174
397,1176
397,1177
397,1178
398,1180
398,1181
398,1182
399,7
399,1184
399,1185
400,1187
400,1188
400,320
401,1189
401,139
401,372
402,1191
402,1192
402,1193
403,1189
403,1133
403,1195
404,1197
404,1198
404,1199
405,1201
405,1134
405,1202
406,1204
406,1205
406,1206
407,1207
407,1208
407,41
408,500
408,1209
408,1210
409,1212
409,1213
409,1214
410,1215
410,1216
410,1217
411,146
411,147
411,343
412,30
412,1219
412,1220
413,100
413,711
413,1221
414,249
414,373
414,1223
415,1225
415,1226
415,1227
416,1228
416,360
416,1229
417,7
417,856
417,1230
418,1232
418,871
418,1233
419,561
419,1201
419,1235
420,314
420,578
420,1237
421,941
421,494
421,1238
422,1239
422,778
422,356
423,1241
423,1242
423,1243
424,802
424,1245
424,1246
425,358
425,359
425,1247
426,1248
426,1249
426,1250
427,912
427,1251
427,1252
428,1201
428,852
428,1247
429,1254
429,1255
429,1256
430,1258
430,1259
430,1260
431,1261
431,1262
431,1263
432,44
432,367
432,1264
433,1265
433,1266
433,160
434,1268
434,1269
434,1270
435,358
435,1272
435,1273
436,1265
436,1274
436,1266
437,900
437,1276
437,1277
438,108
438,1279
438,1280
439,912
439,392
439,163
440,1254
440,358
440,1282
441,571
441,574
441,1284
442,251
