484,Sergi López,ACTOR
485,Joan Cusack,ACTOR
486,James McTeigue,DIRECTOR
487,Hugo Weaving,ACTOR
488,Rupert Graves,ACTOR
489,Soha Ali Khan,ACTOR
490,Siddharth,ACTOR
491,Sanjay Leela Bhansali,DIRECTOR
492,Rani Mukerji,ACTOR
493,Shernaz Patel,ACTOR
494,Michael Caine,ACTOR
495,Ken Watanabe,ACTOR
496,Ashutosh Gowariker,DIRECTOR
497,Gayatri Joshi,ACTOR
498,Kishori Ballal,ACTOR
499,Oliver Hirschbiegel,DIRECTOR
500,Bruno Ganz,ACTOR
501,Alexandra Maria Lara,ACTOR
502,Ulrich Matthes,ACTOR
503,Chieko Baishô,ACTOR
504,Takuya Kimura,ACTOR
505,Tatsuya Gashûin,ACTOR
506,Ron Howard,DIRECTOR
507,Ed Harris,ACTOR
508,Priyadarshan,DIRECTOR
509,Akshay Kumar,ACTOR
510,Sunil Shetty,ACTOR
511,Jason Flemyng,ACTOR
512,Dexter Fletcher,ACTOR
513,Nick Moran,ACTOR
514,Curtis Hanson,DIRECTOR
515,Yavuz Turgul,DIRECTOR
516,Sener Sen,ACTOR
517,Ugur Yücel,ACTOR
518,Sermin Hürmeriç,ACTOR
519,Michael Mann,DIRECTOR
520,Val Kilmer,ACTOR
521,Sharon Stone,ACTOR
522,Rajkumar Santoshi,DIRECTOR
523,Salman Khan,ACTOR
524,Raveena Tandon,ACTOR
525,Clint Eastwood,DIRECTOR
526,Gene Hackman,ACTOR
527,Sean Connery,ACTOR
528,Alison Doody,ACTOR
529,Emir Kusturica,DIRECTOR
530,Davor Dujmovic,ACTOR
531,Bora Todorovic,ACTOR
532,Ljubica Adzovic,ACTOR
533,Hitoshi Takagi,ACTOR
534,Noriko Hidaka,ACTOR
535,Chika Sakamoto,ACTOR
536,John McTiernan,DIRECTOR
537,Bruce Willis,ACTOR
538,Alan Rickman,ACTOR
539,Bonnie Bedelia,ACTOR
540,Akira Terao,ACTOR
541,Jinpachi Nezu,ACTOR
542,Cathy Moriarty,ACTOR
543,Andrei Tarkovsky,DIRECTOR
544,Alisa Freyndlikh,ACTOR
545,Aleksandr Kaydanovskiy,ACTOR
546,Anatoliy Solonitsyn,ACTOR
547,Ingmar Bergman,DIRECTOR
548,Liv Ullmann,ACTOR
549,Lena Nyman,ACTOR
550,Moustapha Akkad,DIRECTOR
551,Irene Papas,ACTOR
552,Michael Ansara,ACTOR
553,Ramesh Sippy,DIRECTOR
554,Sanjeev Kumar,ACTOR
555,Dharmendra,ACTOR
556,Terry Gilliam,DIRECTOR
557,Terry Jones,ACTOR
558,Graham Chapman,ACTOR
559,John Cleese,ACTOR
560,John Sturges,DIRECTOR
561,Steve McQueen,ACTOR
562,James Garner,ACTOR
563,Richard Attenborough,ACTOR
564,Robert Mulligan,DIRECTOR
565,Gregory Peck,ACTOR
566,John Megna,ACTOR
567,Frank Overton,ACTOR
568,Eijirô Tôno,ACTOR
569,Stanley Kramer,DIRECTOR
570,Spencer Tracy,ACTOR
571,Burt Lancaster,ACTOR
572,Richard Widmark,ACTOR
573,Marilyn Monroe,ACTOR
574,Tony Curtis,ACTOR
575,Victor Sjöström,ACTOR
576,Bibi Andersson,ACTOR
577,Ingrid Thulin,ACTOR
578,Max von Sydow,ACTOR
579,Gunnar Björnstrand,ACTOR
580,Bengt Ekerot,ACTOR
581,Jules Dassin,DIRECTOR
582,Jean Servais,ACTOR
583,Carl Möhner,ACTOR
584,Robert Manuel,ACTOR
585,Ray Milland,ACTOR
586,Robert Cummings,ACTOR
587,Yasujirô Ozu,DIRECTOR
588,Chishû Ryû,ACTOR
589,Chieko Higashiyama,ACTOR
590,Sô Yamamura,ACTOR
591,Machiko Kyô,ACTOR
592,Masayuki Mori,ACTOR
593,Joseph L. Mankiewicz,DIRECTOR
594,Bette Davis,ACTOR
595,Anne Baxter,ACTOR
596,George Sanders,ACTOR
597,John Huston,DIRECTOR
598,Walter Huston,ACTOR
599,Tim Holt,ACTOR
600,Ernst Lubitsch,DIRECTOR
601,Carole Lombard,ACTOR
602,Jack Benny,ACTOR
603,Robert Stack,ACTOR
604,Mack Swain,ACTOR
