203,Logan,2017,A,8.1
204,Room,2015,R,8.1
205,Relatos salvajes,2014,R,8.1
206,Soul,2020,U,8.1
207,Kis Uykusu,2014,,8.1
208,PK,2014,UA,8.1
209,OMG: Oh My God!,2012,U,8.1
210,The Grand Budapest Hotel,2014,UA,8.1
211,Gone Girl,2014,A,8.1
212,Ôkami kodomo no Ame to Yuki,2012,U,8.1
213,Hacksaw Ridge,2016,A,8.1
214,Inside Out,2015,U,8.1
215,Barfi!,2012,U,8.1
216,12 Years a Slave,2013,A,8.1
217,Rush,2013,UA,8.1
218,Ford v Ferrari,2019,UA,8.1
219,Spotlight,2015,A,8.1
220,Song of the Sea,2014,PG,8.1
221,Kahaani,2012,UA,8.1
222,Zindagi Na Milegi Dobara,2011,U,8.1
223,Prisoners,2013,A,8.1
224,Mad Max: Fury Road,2015,UA,8.1
225,A Wednesday,2008,UA,8.1
226,Gran Torino,2008,R,8.1
227,Harry Potter and the Deathly Hallows: Part 2,2011,UA,8.1
228,Okuribito,2008,PG-13,8.1
229,Hachi: A Dog's Tale,2009,G,8.1
230,Mary and Max,2009,,8.1
231,How to Train Your Dragon,2010,U,8.1
232,Into the Wild,2007,R,8.1
233,No Country for Old Men,2007,R,8.1
234,Lage Raho Munna Bhai,2006,U,8.1
235,Million Dollar Baby,2004,UA,8.1
236,Hotel Rwanda,2004,PG-13,8.1
237,Taegukgi hwinalrimyeo,2004,R,8.1
238,Before Sunset,2004,R,8.1
239,Munna Bhai M.B.B.S.,2003,U,8.1
240,Salinui chueok,2003,UA,8.1
241,Dil Chahta Hai,2001,Unrated,8.1
242,Kill Bill: Vol. 1,2003,R,8.1
243,Finding Nemo,2003,U,8.1
244,Catch Me If You Can,2002,A,8.1
245,Amores perros,2000,A,8.1
246,"Monsters, Inc.",2001,U,8.1
247,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,UA,8.1
248,Lagaan: Once Upon a Time in India,2001,U,8.1
249,The Sixth Sense,1999,A,8.1
250,La leggenda del pianista sull'oceano,1998,U,8.1
251,The Truman Show,1998,U,8.1
252,"Crna macka, beli macor",1998,R,8.1
253,The Big Lebowski,1998,R,8.1
254,Fa yeung nin wah,2000,U,8.1
255,Trainspotting,1996,A,8.1
256,Fargo,1996,A,8.1
257,Underground,1995,,8.1
258,La haine,1995,UA,8.1
259,Dilwale Dulhania Le Jayenge,1995,U,8.1
260,Before Sunrise,1995,R,8.1
261,Trois couleurs: Rouge,1994,U,8.1
262,Chung Hing sam lam,1994,U,8.1
263,Jurassic Park,1993,UA,8.1
264,In the Name of the Father,1993,UA,8.1
265,Ba wang bie ji,1993,R,8.1
266,Dà hóng denglong gaogao guà,1991,PG,8.1
267,Dead Poets Society,1989,U,8.1
268,Stand by Me,1986,U,8.1
269,Platoon,1986,A,8.1
270,"Paris, Texas",1984,U,8.1
271,Kaze no tani no Naushika,1984,U,8.1
272,The Thing,1982,A,8.1
273,Pink Floyd: The Wall,1982,UA,8.1
274,Fitzcarraldo,1982,R,8.1
275,Fanny och Alexander,1982,A,8.1
276,Blade Runner,1982,UA,8.1
277,The Elephant Man,1980,UA,8.1
278,Life of Brian,1979,R,8.1
279,The Deer Hunter,1978,A,8.1
280,Rocky,1976,U,8.1
281,Network,1976,UA,8.1
282,Barry Lyndon,1975,PG,8.1
283,Zerkalo,1975,G,8.1
284,Chinatown,1974,UA,8.1
285,Paper Moon,1973,U,8.1
286,Viskningar och rop,1972,A,8.1
287,Solaris,1972,PG,8.1
288,Le samouraï,1967,GP,8.1
289,Cool Hand Luke,1967,A,8.1
290,Persona,1966,,8.1
291,Andrei Rublev,1966,R,8.1
292,La battaglia di Algeri,1966,,8.1
293,El ángel exterminador,1962,,8.1
294,What Ever Happened to Baby Jane?,1962,Passed,8.1
295,Sanjuro,1962,U,8.1
296,The Man Who Shot Liberty Valance,1962,,8.1
297,Ivanovo detstvo,1962,,8.1
298,Jungfrukällan,1960,A,8.1
299,Inherit the Wind,1960,Passed,8.1
300,Les quatre cents coups,1959,,8.1
301,Ben-Hur,1959,U,8.1
302,Kakushi-toride no san-akunin,1958,,8.1
303,Le notti di Cabiria,1957,,8.1
304,Kumonosu-jô,1957,,8.1
305,The Bridge on the River Kwai,1957,PG,8.1
306,On the Waterfront,1954,A,8.1
307,Le salaire de la peur,1953,U,8.1
308,Ace in the Hole,1951,Approved,8.1
309,White Heat,1949,,8.1
310,The Third Man,1949,Approved,8.1
311,The Red Shoes,1948,,8.1
312,The Shop Around the Corner,1940,,8.1
313,Rebecca,1940,Approved,8.1
314,Mr. Smith Goes to Washington,1939,Passed,8.1
315,Gone with the Wind,1939,U,8.1
316,La Grande Illusion,1937,,8.1
317,It Happened One Night,1934,Approved,8.1
318,La passion de Jeanne d'Arc,1928,Passed,8.1
319,The Circus,1928,Passed,8.1
320,Sunrise: A Song of Two Humans,1927,Passed,8.1
321,The General,1926,Passed,8.1
322,Das Cabinet des Dr. Caligari,1920,,8.1
323,Badhaai ho,2018,UA,8
324,Togo,2019,U,8
325,Airlift,2016,UA,8
326,Bajrangi Bhaijaan,2015,UA,8
327,Baby,2015,UA,8
328,La La Land,2016,A,8
329,Lion,2016,U,8
330,The Martian,2015,UA,8
331,Zootopia,2016,U,8
332,Bãhubali: The Beginning,2015,UA,8
333,Kaguyahime no monogatari,2013,U,8
334,Wonder,2017,U,8
335,Gully Boy,2019,UA,8
336,Special Chabbis,2013,UA,8
337,Short Term 12,2013,R,8
338,Serbuan maut 2: Berandal,2014,A,8
339,The Imitation Game,2014,UA,8
340,Guardians of the Galaxy,2014,UA,8
341,Blade Runner 2049,2017,UA,8
342,Her,2013,A,8
343,Bohemian Rhapsody,2018,UA,8
344,The Revenant,2015,A,8
345,The Perks of Being a Wallflower,2012,UA,8
346,Tropa de Elite 2: O Inimigo Agora é Outro,2010,,8
347,The King's Speech,2010,U,8
348,The Help,2011,UA,8
349,Deadpool,2016,R,8
350,Darbareye Elly,2009,TV-PG,8
351,Dev.D,2009,A,8
352,Yip Man,2008,R,8
353,My Name Is Khan,2010,UA,8
354,Nefes: Vatan Sagolsun,2009,,8
355,Slumdog Millionaire,2008,UA,8
356,Black Swan,2010,A,8
357,Tropa de Elite,2007,R,8
358,The Avengers,2012,UA,8
359,Persepolis,2007,PG-13,8
360,Dallas Buyers Club,2013,R,8
361,The Pursuit of Happyness,2006,U,8
362,Blood Diamond,2006,A,8
363,The Bourne Ultimatum,2007,UA,8
364,Bin-jip,2004,U,8
365,Sin City,2005,A,8
